content_id,title,content,industry,capabilities
44,solar strategic finance,Content 44,financial services,"['innovation', 'customer insights', 'M&a', 'sustainability']"
45,moving customers raise,Content 45,retail,"['strategy management', 'M&a', 'customer insights', 'innovation', 'digital transformation', 'sustainability']"
46,education The luxury,Content 46,financial services,"['sales & marketing', 'innovation', 'digital transformation']"
47,how expensive raise,Content 47,energy,"['sustainability', 'digital transformation', 'strategy management', 'innovation', 'M&a']"
48,more crypto sell,Content 48,education,"['strategy management', 'digital transformation', 'customer insights', 'M&a']"
49,moving cheap impact,Content 49,healthcare,"['innovation', 'customer insights', 'sustainability']"
50,ESG ESG moving,Content 50,education,"['M&a', 'customer insights', 'digital transformation', 'sustainability', 'innovation', 'strategy management']"
51,crypto do luxury,Content 51,retail,"['digital transformation', 'M&a', 'innovation']"
52,VR tech insights,Content 52,technology,"['sustainability', 'innovation', 'digital transformation', 'strategy management']"
53,expensive what tech,Content 53,technology,"['sustainability', 'sales & marketing', 'M&a', 'digital transformation', 'innovation', 'customer insights', 'strategy management']"
54,business energy education,Content 54,retail,"['sustainability', 'innovation', 'sales & marketing']"
55,ESG improve economy,Content 55,energy,"['innovation', 'digital transformation', 'sustainability', 'M&a', 'customer insights', 'strategy management']"
56,The sell what,Content 56,retail,"['sales & marketing', 'M&a', 'sustainability', 'digital transformation', 'strategy management']"
57,moving The AI,Content 57,energy,"['sales & marketing', 'sustainability', 'M&a', 'innovation']"
58,cheap cheap insights,Content 58,retail,"['innovation', 'digital transformation', 'strategy management', 'M&a', 'sustainability', 'sales & marketing', 'customer insights']"
59,AI cheap healthcare tech,Content 59,education,"['strategy management', 'customer insights']"
60,The management The,Content 60,energy,"['customer insights', 'strategy management', 'sales & marketing', 'innovation', 'sustainability', 'M&a']"
61,luxury AI health,Content 61,retail,"['M&a', 'digital transformation', 'customer insights']"
62,keep rise AI,Content 62,healthcare,"['innovation', 'sales & marketing', 'M&a', 'customer insights', 'strategy management', 'sustainability', 'digital transformation']"
63,The sell tech,Content 63,healthcare,"['innovation', 'customer insights', 'sales & marketing', 'sustainability', 'digital transformation']"
64,market economy moving,Content 64,energy,"['M&a', 'digital transformation']"
65,what moving time,Content 65,retail,"['digital transformation', 'sustainability', 'customer insights', 'strategy management']"
66,consulting products raise,Content 66,energy,['innovation']
67,customers healthcare tech what,Content 67,education,"['M&a', 'sales & marketing', 'innovation', 'sustainability', 'customer insights']"
68,what services AI,Content 68,healthcare,"['M&a', 'innovation', 'sales & marketing']"
69,when The economy,Content 69,healthcare,"['sustainability', 'customer insights', 'strategy management', 'M&a']"
70,luxury economy expensive,Content 70,healthcare,"['sales & marketing', 'innovation', 'strategy management']"
71,ways health education,Content 71,education,"['sustainability', 'strategy management', 'M&a', 'sales & marketing']"
72,crypto health time,Content 72,energy,"['digital transformation', 'M&a', 'customer insights', 'strategy management', 'sales & marketing']"
73,improve raise products,Content 73,healthcare,"['strategy management', 'innovation', 'digital transformation']"
74,VR improve VR,Content 74,retail,"['M&a', 'strategy management', 'sales & marketing', 'customer insights']"
75,cheap products to,Content 75,financial services,"['strategy management', 'digital transformation', 'sustainability', 'M&a', 'customer insights', 'sales & marketing']"
76,finance economy what,Content 76,healthcare,['strategy management']
77,tech market cheap,Content 77,education,['innovation']
78,when AI time,Content 78,technology,"['sustainability', 'sales & marketing', 'M&a', 'innovation', 'customer insights', 'strategy management']"
79,money solar sell,Content 79,education,"['digital transformation', 'M&a', 'customer insights', 'innovation']"
80,sell tech what,Content 80,healthcare,"['strategy management', 'sales & marketing', 'customer insights', 'innovation']"
81,moving to sustain,Content 81,financial services,"['M&a', 'innovation', 'sustainability', 'digital transformation', 'sales & marketing', 'strategy management', 'customer insights']"
82,impact customers business,Content 82,education,"['sales & marketing', 'M&a', 'sustainability', 'strategy management', 'innovation', 'customer insights', 'digital transformation']"
83,sustain products insights,Content 83,healthcare,"['M&a', 'customer insights', 'strategy management', 'sales & marketing', 'sustainability', 'digital transformation']"
84,sustain crypto ways,Content 84,energy,"['innovation', 'sustainability']"
85,improve money business,Content 85,energy,"['sustainability', 'M&a', 'sales & marketing', 'strategy management', 'innovation', 'customer insights']"
86,improve more healthcare tech,Content 86,education,"['M&a', 'sustainability', 'sales & marketing', 'digital transformation']"
87,consulting how education,Content 87,education,"['strategy management', 'M&a', 'sustainability', 'digital transformation', 'innovation']"
88,energy money crypto,Content 88,retail,"['innovation', 'sustainability', 'sales & marketing', 'M&a', 'strategy management', 'customer insights']"
89,why to solar,Content 89,education,"['innovation', 'M&a', 'customer insights', 'sustainability']"
90,The money why,Content 90,education,"['innovation', 'sales & marketing', 'digital transformation']"
91,how keep healthcare tech,Content 91,retail,"['sales & marketing', 'digital transformation', 'M&a', 'sustainability', 'strategy management', 'innovation', 'customer insights']"
92,consulting services many,Content 92,education,"['M&a', 'digital transformation', 'customer insights', 'innovation', 'sales & marketing']"
93,impact ESG keep,Content 93,financial services,"['customer insights', 'sustainability', 'strategy management']"
94,raise time time,Content 94,financial services,"['sustainability', 'customer insights', 'M&a', 'innovation', 'sales & marketing', 'strategy management', 'digital transformation']"
95,improve expensive money,Content 95,financial services,"['M&a', 'digital transformation', 'customer insights', 'sales & marketing', 'sustainability', 'innovation', 'strategy management']"
96,luxury consulting money,Content 96,healthcare,"['digital transformation', 'strategy management', 'innovation', 'sales & marketing', 'M&a', 'customer insights']"
97,services rise business,Content 97,healthcare,"['strategy management', 'digital transformation', 'M&a', 'sales & marketing']"
98,sell ways business,Content 98,healthcare,"['sales & marketing', 'M&a', 'customer insights', 'strategy management', 'sustainability', 'digital transformation']"
99,services insights sell,Content 99,financial services,"['sustainability', 'sales & marketing', 'strategy management', 'digital transformation', 'customer insights', 'M&a', 'innovation']"
100,ESG when products,Content 100,retail,"['sustainability', 'strategy management', 'innovation']"
